rank,avg_ev,pred_ev,,
1026,3.08,1.46,,
1027,3.67,1.46,,
1028,3.85,1.46,,
1029,3.71,1.45,,
1030,3.51,1.45,,
1031,4.24,1.45,,
1032,4.28,1.44,,
1033,5.17,1.44,,
1034,4.79,1.44,,
1035,5.04,1.44,,
1036,4.77,1.43,,
1037,3.94,1.43,,
1038,3.24,1.43,,
1039,3.26,1.42,,
1040,3.62,1.42,,
1041,3.57,1.42,,
1042,3.58,1.42,,
1043,4.04,1.41,,
1044,3.37,1.41,,
1045,3.5,1.41,,
1046,3.5,1.41,,
1047,3.39,1.4,,
1048,3.51,1.4,,
1049,3.51,1.4,,
1050,3.53,1.39,,
1051,3.57,1.39,,
1052,3.03,1.39,,
1053,2.98,1.39,,
1054,1.71,1.38,,
1055,1.51,1.38,,
1056,1.62,1.38,,
1057,1.65,1.38,,
1058,1.69,1.37,,
1059,1.54,1.37,,
1060,1.4,1.37,,
1061,2,1.36,,
1062,1.9,1.36,,
1063,1.8,1.36,,
1064,2.16,1.36,,
1065,2.29,1.35,,
1066,2.11,1.35,,
1067,2.15,1.35,,
1068,2.1,1.35,,
1069,2.69,1.34,,
1070,3.84,1.34,,
1071,4.21,1.34,,
1072,3.43,1.34,,
1073,3.2,1.33,,
1074,5.24,1.33,,
1075,4.41,1.33,,
1076,5.1,1.32,,
1077,5.27,1.32,,
1078,4.98,1.32,,
1079,4.98,1.32,,
1080,4.65,1.31,,
1081,3.63,1.31,,
1082,3.54,1.31,,
1083,3.18,1.31,,
1084,3.32,1.3,,
1085,2.29,1.3,,
1086,2.42,1.3,,
1087,2.3,1.3,,
1088,2.56,1.29,,
1089,2.11,1.29,,
1090,2.17,1.29,,
1091,2.46,1.29,,
1092,2.63,1.28,,
1093,2.63,1.28,,
1094,2.87,1.28,,
1095,2.67,1.28,,
1096,2.41,1.27,,
1097,2.41,1.27,,
1098,2.28,1.27,,
1099,2.38,1.27,,
1100,2.12,1.26,,
1101,2.11,1.26,,
1102,2,1.26,,
1103,1.77,1.26,,
1104,1.66,1.25,,
1105,2.12,1.25,,
1106,2.2,1.25,,
1107,2.38,1.25,,
1108,2.51,1.24,,
1109,2.51,1.24,,
1110,1.91,1.24,,
1111,1.55,1.24,,
1112,1.57,1.23,,
1113,0.97,1.23,,
1114,0.99,1.23,,
1115,0.99,1.23,,
1116,0.11,1.22,,
1117,0.09,1.22,,
1118,0.09,1.22,,
1119,0,1.22,,
1120,0.08,1.21,,
1121,0.08,1.21,,
1122,0.09,1.21,,
1123,0.09,1.21,,
1124,0.37,1.21,,
1125,0.36,1.2,,
1126,0.52,1.2,,
1127,1.05,1.2,,
1128,1.16,1.2,,
1129,1.21,1.19,,
1130,1.22,1.19,,
1131,1.16,1.19,,
1132,3.39,1.19,,
